DEBUG: concatenating server address with default port.
DEBUG enip server tags_string:  LIT101:1=REAL LIT102:1=REAL LIT103:1=REAL Q101:1=REAL Q102:1=REAL 
DEBUG enip _start_server cmd:  '/usr/bin/python' '-m' 'cpppo.server.enip' '--print' '--log' 'logs/protocols_tests_enip_server' '--address' '192.168.1.13:44818' 'LIT101:1=REAL' 'LIT102:1=REAL' 'LIT103:1=REAL' 'Q101:1=REAL' 'Q102:1=REAL'
314   0.39800895493400368 0.20049970432913392 0.30554494881642807
315   0.39808975088813664 0.20049480783781162 0.30540302384238555
316   0.39813400577071517 0.2004617236292868 0.30526483245981767
317   0.3981687994233904 0.2004221771463354 0.30512983180358627
318   0.39820134722659123 0.20038205209988136 0.3049978418828917
319   0.39823198585211045 0.20034136352125634 0.30486876283899222
320   0.39819982825542677 0.20025651626013244 0.30474190151270164
321   0.39832246863916859 0.20030178203441001 0.30461822930841032
322   0.39830594456505275 0.20023354644864816 0.30449783434155647
323   0.39832290176813151 0.20019284456814207 0.30437956710721603
324   0.39834947050320063 0.2001607729112159 0.30426382613669667
325   0.39837439593125923 0.20012813747271058 0.30415064329168573
326   0.39835236616567743 0.20006280763735812 0.30403949237212202
327   0.39845007364228968 0.20009800130578242 0.30393113335463351
328   0.39844805746419942 0.20005202605395192 0.30382570930293362
329   0.39846819384822957 0.20002438588775701 0.30372236679117298
330   0.39849504774468131 0.20000287565909872 0.3036213588927415
331   0.39852043153089628 0.19998073117703394 0.30352269229065465
332   0.39851420608518889 0.19993673539274831 0.30342599662888114
333   0.39857841357057805 0.19995185769443807 0.30333166356711572
334   0.39860899026346575 0.19994062691394429 0.30324002492169194
335   0.39863267658897256 0.19992443244239985 0.30315061469533411
336   0.3986561264242563 0.19990864906833283 0.30306331638019196
337   0.39867830783916408 0.19989225484885889 0.30297807201999677
338   0.3986765134251849 0.19985926003904458 0.30289459307387728
339   0.39873488499266491 0.19987694671405398 0.30281324167732721
340   0.39875776370408222 0.19986650807906511 0.30273422923009402
341   0.39877726721826962 0.19985378691853523 0.30265711332216033
342   0.3987976981217799 0.19984227542358968 0.30258183115935289
343   0.39881703645245353 0.19983019013132014 0.30250834349846961
344   0.39881938487879448 0.19980644590353469 0.30243643714622481
345   0.3988651728408954 0.19981930951758409 0.30236637017776519
346   0.39889199469621012 0.19981756504857107 0.30229835857182902
347   0.39891098611654396 0.19980989766914112 0.30223208920280098
348   0.39892970102624242 0.19980237781053234 0.3021674446516322
349   0.39894746714755708 0.19979431268343403 0.30210437880074104
350   0.39895411512552792 0.19977870646817159 0.30204274135689152
351   0.39899955029330381 0.19979600504015507 0.30198280232413399
352   0.39901974227159986 0.19979338787660872 0.30192466820916092
353   0.39903552963378192 0.19978750949967097 0.30186800154756072
354   0.3990518740608977 0.19978236361705556 0.30181273344246295
355   0.39906740545208469 0.19977672271367297 0.30175883198637055
356   0.39907574197461371 0.19976630844052645 0.30170619089096196
357   0.39911612623728637 0.19978316098592122 0.30165505111872565
358   0.39913412157992645 0.19978232799431286 0.30160548320804675
359   0.39914827559208299 0.19977862826994464 0.30155718911637863
360   0.39916302227262346 0.1997756281740472 0.30151010978277293
361   0.39917706855313434 0.19977217557991561 0.30146421840537307
362   0.3991871790384125 0.19976623293105636 0.30141944516442448
363   0.39922392708605453 0.19978306409037142 0.30137600902526052
364   0.39923989109286279 0.19978345276841741 0.30133394499130239
365   0.39925232914995368 0.19978118428743918 0.30129297862895016
366   0.39926532100047002 0.19977953525432454 0.30125305717460654
367   0.39927771454443295 0.19977748247703708 0.30121415788967754
368   0.39928830222902734 0.19977442895821709 0.3011762361355334
369   0.39932095260749534 0.19979030843055232 0.30113948653521777
370   0.3993350353450878 0.1997914852555403 0.30110392320233836
371   0.39934595207231438 0.19979025620849211 0.30106930163148599
