DEBUG get_query: SELECT value FROM industry WHERE name = ? AND pid = ?
DEBUG set_query: UPDATE industry SET value = ? WHERE name = ? AND pid = ?
DEBUG EnipProtocol server addr:  192.168.1.14
DEBUG: concatenating server address with default port.
DEBUG enip server tags_string:  LIT101:1=REAL LIT102:1=REAL LIT103:1=REAL Q101:1=REAL Q102:1=REAL 
DEBUG enip _start_server cmd:  ['/usr/bin/python', '-m', 'cpppo.server.enip', '--print', '--log', 'logs/protocols_tests_enip_server', '--address', '192.168.1.14:44818', 'LIT101:1=REAL', 'LIT102:1=REAL', 'LIT103:1=REAL', 'Q101:1=REAL', 'Q102:1=REAL']
DEBUG: swat-s1 plc1 enters pre_loop
DEBUG: swat-s1 plc1 enters main_loop.
293 [  3.46968573e-05] [  3.12692894e-05] [  3.46968573e-05]
294 [  3.47242151e-05] [  3.12959136e-05] [  3.47242151e-05]
295 [  3.47596215e-05] [  3.13294430e-05] [  3.47596215e-05]
296 [  3.47919040e-05] [  3.13609049e-05] [  3.47919040e-05]
297 [  3.47561742e-05] [  3.13428822e-05] [  3.47561742e-05]
298 [  3.52515164e-05] [  3.17717801e-05] [  3.52515164e-05]
299 [  3.48218898e-05] [  3.14347393e-05] [  3.48218898e-05]
300 [  3.47509043e-05] [  3.13816304e-05] [  3.47509043e-05]
301 [  3.47679667e-05] [  3.13987122e-05] [  3.47679667e-05]
302 [  3.48003241e-05] [  3.14282912e-05] [  3.48003241e-05]
303 [  3.48337576e-05] [  3.14591734e-05] [  3.48337576e-05]
304 [  3.48350754e-05] [  3.14666636e-05] [  3.48350754e-05]
305 [  3.48703811e-05] [  3.15000221e-05] [  3.48703811e-05]
306 [  3.52206661e-05] [  3.18055574e-05] [  3.52206661e-05]
307 [  3.48898596e-05] [  3.15463255e-05] [  3.48898596e-05]
308 [  3.48349262e-05] [  3.15054199e-05] [  3.48349262e-05]
309 [  3.48484596e-05] [  3.15190707e-05] [  3.48484596e-05]
310 [  3.48740318e-05] [  3.15425546e-05] [  3.48740318e-05]
311 [  3.48992815e-05] [  3.15660672e-05] [  3.48992815e-05]
312 [  3.49470318e-05] [  3.16059209e-05] [  3.49470318e-05]
313 [  3.52285930e-05] [  3.18543602e-05] [  3.52285930e-05]
314 [  3.49141777e-05] [  3.16073249e-05] [  3.49141777e-05]
315 [  3.48634831e-05] [  3.15690523e-05] [  3.48634831e-05]
316 [  3.48755485e-05] [  3.15806975e-05] [  3.48755485e-05]
317 [  3.49005095e-05] [  3.16028728e-05] [  3.49005095e-05]
318 [  3.49253932e-05] [  3.16253040e-05] [  3.49253932e-05]
319 [  3.49447519e-05] [  3.16434813e-05] [  3.49447519e-05]
320 [  3.50139829e-05] [  3.16979745e-05] [  3.50139829e-05]
321 [  3.52280369e-05] [  3.18894399e-05] [  3.52280369e-05]
322 [  3.49482641e-05] [  3.16694394e-05] [  3.49482641e-05]
323 [  3.49014938e-05] [  3.16338117e-05] [  3.49014938e-05]
324 [  3.49120967e-05] [  3.16438626e-05] [  3.49120967e-05]
325 [  3.49328806e-05] [  3.16622089e-05] [  3.49328806e-05]
326 [  3.49527805e-05] [  3.16800450e-05] [  3.49527805e-05]
327 [  3.50084695e-05] [  3.17238734e-05] [  3.50084695e-05]
328 [  3.51712820e-05] [  3.18691807e-05] [  3.51712820e-05]
329 [  3.49657162e-05] [  3.17075808e-05] [  3.49657162e-05]
330 [  3.49338069e-05] [  3.16834444e-05] [  3.49338069e-05]
331 [  3.49439327e-05] [  3.16928061e-05] [  3.49439327e-05]
332 [  3.49599879e-05] [  3.17069823e-05] [  3.49599879e-05]
333 [  3.49765934e-05] [  3.17217941e-05] [  3.49765934e-05]
334 [  3.49900330e-05] [  3.17342054e-05] [  3.49900330e-05]
335 [  3.50216026e-05] [  3.17570105e-05] [  3.50216026e-05]
