DEBUG get_query: SELECT value FROM industry WHERE name = ? AND pid = ?
DEBUG set_query: UPDATE industry SET value = ? WHERE name = ? AND pid = ?
DEBUG EnipProtocol server addr:  192.168.1.14
DEBUG: concatenating server address with default port.
DEBUG enip server tags_string:  LIT101:1=REAL LIT102:1=REAL LIT103:1=REAL Q101:1=REAL Q102:1=REAL 
DEBUG enip _start_server cmd:  ['/usr/bin/python', '-m', 'cpppo.server.enip', '--print', '--log', 'logs/protocols_tests_enip_server', '--address', '192.168.1.14:44818', 'LIT101:1=REAL', 'LIT102:1=REAL', 'LIT103:1=REAL', 'Q101:1=REAL', 'Q102:1=REAL']
DEBUG: swat-s1 plc1 enters pre_loop
DEBUG: swat-s1 plc1 enters main_loop.
219 [  2.83517909e-05] [  2.35491563e-05] [  2.83517909e-05]
220 [  2.86579284e-05] [  2.36870484e-05] [  2.86579284e-05]
221 [  1.56962592e-05] [  1.41972938e-05] [  1.56962592e-05]
222 [  4.90675711e-05] [  4.18971259e-05] [  4.90675711e-05]
223 [ -2.09927712e-05] [ -1.74264402e-05] [ -2.09927712e-05]
224 [ 0.00013866] [ 0.00011673] [ 0.00013866]
225 [ -4.59508223e-05] [ -3.56555624e-05] [ -4.59508223e-05]
226 [  1.62366803e-05] [  1.35124799e-05] [  1.62366803e-05]
227 [  3.18411831e-05] [  2.59115334e-05] [  3.18411831e-05]
228 [  3.51790813e-05] [  2.86234433e-05] [  3.51790813e-05]
229 [  3.54104133e-05] [  2.88797192e-05] [  3.54104133e-05]
230 [  3.49575719e-05] [  2.85937279e-05] [  3.49575719e-05]
231 [  3.44395475e-05] [  2.82549931e-05] [  3.44395475e-05]
232 [  3.39991188e-05] [  2.79768999e-05] [  3.39991188e-05]
233 [  3.36559056e-05] [  2.77754248e-05] [  3.36559056e-05]
234 [  3.33982637e-05] [  2.76415894e-05] [  3.33982637e-05]
235 [  3.32111291e-05] [  2.75636058e-05] [  3.32111291e-05]
236 [  3.30822597e-05] [  2.75319393e-05] [  3.30822597e-05]
237 [  3.29975694e-05] [  2.75353481e-05] [  3.29975694e-05]
238 [  3.29481654e-05] [  2.75667207e-05] [  3.29481654e-05]
239 [  3.29269711e-05] [  2.76203816e-05] [  3.29269711e-05]
240 [  3.29274086e-05] [  2.76909972e-05] [  3.29274086e-05]
241 [  3.29437959e-05] [  2.77738874e-05] [  3.29437959e-05]
242 [  3.29736018e-05] [  2.78669659e-05] [  3.29736018e-05]
243 [  3.30123289e-05] [  2.79664862e-05] [  3.30123289e-05]
244 [  3.30581622e-05] [  2.80708924e-05] [  3.30581622e-05]
245 [  3.31093780e-05] [  2.81787199e-05] [  3.31093780e-05]
246 [  3.31636196e-05] [  2.82879587e-05] [  3.31636196e-05]
247 [  3.32204992e-05] [  2.83982356e-05] [  3.32204992e-05]
248 [  3.32783510e-05] [  2.85081215e-05] [  3.32783510e-05]
249 [  3.33361162e-05] [  2.86166665e-05] [  3.33361162e-05]
250 [  3.33935198e-05] [  2.87235730e-05] [  3.33935198e-05]
251 [  3.34521187e-05] [  2.88301382e-05] [  3.34521187e-05]
252 [  3.35084354e-05] [  2.89334547e-05] [  3.35084354e-05]
253 [  3.35630384e-05] [  2.90339157e-05] [  3.35630384e-05]
254 [  3.36180006e-05] [  2.91332552e-05] [  3.36180006e-05]
255 [  3.11529424e-05] [  2.73976070e-05] [  3.11529424e-05]
256 [  3.42674436e-05] [  2.99498761e-05] [  3.42674436e-05]
257 [  3.24798142e-05] [  2.84554859e-05] [  3.24798142e-05]
258 [  3.69982109e-05] [  3.22768917e-05] [  3.69982109e-05]
259 [  3.31621070e-05] [  2.91819161e-05] [  3.31621070e-05]
260 [  3.38305224e-05] [  2.97428336e-05] [  3.38305224e-05]
261 [  3.40229260e-05] [  2.99276185e-05] [  3.40229260e-05]
262 [  3.40909833e-05] [  3.00138003e-05] [  3.40909833e-05]
263 [  3.41270435e-05] [  3.00742259e-05] [  3.41270435e-05]
264 [  3.41559140e-05] [  3.01284685e-05] [  3.41559140e-05]
265 [  3.41826403e-05] [  3.01804228e-05] [  3.41826403e-05]
266 [  3.42099066e-05] [  3.02322301e-05] [  3.42099066e-05]
267 [  3.42373805e-05] [  3.02836056e-05] [  3.42373805e-05]
268 [  3.42646322e-05] [  3.03341798e-05] [  3.42646322e-05]
269 [  3.42914412e-05] [  3.03837527e-05] [  3.42914412e-05]
270 [  3.43180563e-05] [  3.04325259e-05] [  3.43180563e-05]
271 [  3.43440220e-05] [  3.04801203e-05] [  3.43440220e-05]
272 [  3.43685058e-05] [  3.05258127e-05] [  3.43685058e-05]
273 [  3.43935312e-05] [  3.05712915e-05] [  3.43935312e-05]
274 [  3.44174852e-05] [  3.06152420e-05] [  3.44174852e-05]
275 [  3.44405002e-05] [  3.06577632e-05] [  3.44405002e-05]
276 [  3.44631551e-05] [  3.06993473e-05] [  3.44631551e-05]
277 [  3.44838595e-05] [  3.07386563e-05] [  3.44838595e-05]
278 [  3.45050719e-05] [  3.07777406e-05] [  3.45050719e-05]
279 [  3.45246052e-05] [  3.08147997e-05] [  3.45246052e-05]
280 [  3.45442547e-05] [  3.08513329e-05] [  3.45442547e-05]
281 [  3.45628342e-05] [  3.08863799e-05] [  3.45628342e-05]
282 [  3.45799198e-05] [  3.09195673e-05] [  3.45799198e-05]
283 [  3.45977323e-05] [  3.09527680e-05] [  3.45977323e-05]
284 [  3.46136713e-05] [  3.09838394e-05] [  3.46136713e-05]
285 [  3.46301648e-05] [  3.10148126e-05] [  3.46301648e-05]
286 [  3.46443678e-05] [  3.10433227e-05] [  3.46443678e-05]
287 [  3.44908834e-05] [  3.09494371e-05] [  3.44908834e-05]
